@relation winequality-white

@attribute 'fixed acidity' numeric
@attribute 'volatile acidity' numeric
@attribute 'citric acid' numeric
@attribute 'residual sugar' numeric
@attribute 'chlorides' numeric
@attribute 'free sulfur dioxide' numeric
@attribute 'total sulfur dioxide' numeric
@attribute 'density' numeric
@attribute 'pH' numeric
@attribute 'sulphates' numeric
@attribute 'alcohol' numeric
@attribute 'quality' {4, 5, 6, 7, 8}

@data
6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,4
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5
7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5
7.3,0.27,0.39,6.7,0.064,28,188,0.9958,3.29,0.3,9.7,5
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9,5
5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5
8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5
5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.466667,5
6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5
6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5
6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,5
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
8.4,0.3,0.25,17.75,0.047,25,218,1.00016,2.98,0.66,9.1,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,5
6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5
9.8,0.36,0.45,1.6,0.042,11,124,0.9944,2.93,0.46,10.8,5
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5
6.7,0.18,0.25,14.3,0.048,79,149,0.9975,3.12,0.37,9.7,5
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,5
6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5
6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,5
6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,5
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,5
5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,5
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
7,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
8.9,0.33,0.32,1.5,0.047,11,200,0.9954,3.19,0.46,9.4,5
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3,5
8.2,0.37,0.27,1.7,0.028,10,59,0.9923,2.97,0.48,10.4,5
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
7.2,0.21,0.41,1.3,0.036,33,85,0.992,3.17,0.51,10.4,5
9,0.55,0.3,8.1,0.026,14,71,0.993,2.94,0.36,11.8,5
8.3,0.36,0.57,15,0.052,35,256,1.0001,2.93,0.64,8.6,5
6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5
7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5
7,0.34,0.39,6.9,0.066,43,162,0.99561,3.11,0.53,9.5,5
8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
6.1,0.45,0.27,0.8,0.039,13,82,0.9927,3.23,0.32,9.5,5
6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,5
7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,5
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5
6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,5
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11,5
7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
6.4,0.44,0.26,2,0.054,20,180,0.9952,3.58,0.57,10,5
6.9,0.28,0.41,1.4,0.016,6,55,0.98876,3.16,0.4,13.4,5
6,0.32,0.46,1.5,0.05,56,189,0.99308,3.24,0.49,9.6,5
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5
9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1,5
9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
6.6,0.28,0.3,7.8,0.049,57,202,0.9958,3.24,0.39,9.5,5
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5
7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,5
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
6.4,0.16,0.31,5.3,0.043,42,157,0.99455,3.35,0.47,10.5,5
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5
7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,5
7.2,0.585,0.2,10.4,0.086,17,94,0.99681,3.13,0.4,9.4,5
6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5,5
7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5
6.6,0.62,0.2,8.7,0.046,81,224,0.99605,3.17,0.44,9.3,5
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5
6.8,0.22,0.3,13.6,0.055,50,180,0.9984,3.44,0.39,9.8,5
5.8,0.28,0.66,9.1,0.039,26,159,0.9965,3.66,0.55,10.8,5
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,5
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5
6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7,5
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5
6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,5
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
8.3,0.14,0.36,8.8,0.026,13,60,0.9956,3.13,0.35,11.05,5
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5
7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9,5
7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,5
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5
6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,5
